samples,clusters,seconds,batchsize
67100,100,0.397511005402,10
67600,100,0.425693035126,10
68100,100,0.444452047348,10
68600,100,0.510745048523,10
69100,100,0.46729016304,10
69600,100,0.75963306427,10
70100,100,0.987833023071,10
70600,100,0.448271989822,10
71100,100,0.452008008957,10
71600,100,0.441969871521,10
72100,100,0.422824859619,10
72600,100,0.396581888199,10
73100,100,0.396263837814,10
73600,100,0.457305908203,10
74100,100,0.420773029327,10
74600,100,0.40887594223,10
75100,100,0.578114032745,10
75600,100,0.543122053146,10
76100,100,0.555317163467,10
76600,100,0.492913961411,10
77100,100,0.501671791077,10
77600,100,4.91125798225,10
78100,100,0.555182933807,10
78600,100,0.43411397934,10
79100,100,0.438976764679,10
79600,100,0.407928943634,10
80100,100,0.408640146255,10
80600,100,0.443405866623,10
81100,100,0.407841920853,10
81600,100,0.524688959122,10
82100,100,0.448679924011,10
82600,100,0.430675983429,10
83100,100,0.435292005539,10
83600,100,0.423583030701,10
84100,100,0.415458917618,10
84600,100,0.449095964432,10
85100,100,0.472423791885,10
85600,100,0.501511096954,10
86100,100,0.447922945023,10
86600,100,0.440854072571,10
87100,100,0.466501951218,10
87600,100,0.457386016846,10
88100,100,0.444571971893,10
88600,100,0.466307878494,10
89100,100,0.523027181625,10
89600,100,0.52503490448,10
90100,100,0.526215076447,10
90600,100,0.439884185791,10
91100,100,17.4736061096,10
91600,100,0.453610181808,10
92100,100,0.483059883118,10
92600,100,0.45991396904,10
93100,100,0.528440952301,10
93600,100,0.554791927338,10
94100,100,0.466877937317,10
94600,100,0.479788064957,10
95100,100,0.533369064331,10
95600,100,0.633506059647,10
96100,100,0.474813222885,10
96600,100,18.304858923,10
97100,100,0.553865909576,10
97600,100,0.498225927353,10
98100,100,0.507228851318,10
98600,100,0.508412122726,10
99100,100,0.51641702652,10
99600,100,0.504885911942,10
